<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,125000,3666.6900000,3666.9300000,3665.8000000,3666.2200000,55
20210104,125100,3666.3200000,3668.1400000,3665.0400000,3668.1400000,60
20210104,125200,3668.2000000,3671.6400000,3668.2000000,3671.6400000,59
20210104,125300,3671.6700000,3673.6400000,3671.3600000,3673.2100000,56
20210104,125400,3673.3300000,3674.8900000,3673.3300000,3674.8500000,59
20210104,125500,3674.9000000,3677.5100000,3674.8800000,3677.0900000,57
20210104,125600,3677.0800000,3677.3400000,3676.2200000,3676.4800000,56
20210104,125700,3676.5100000,3676.5700000,3674.4700000,3674.5700000,59
20210104,125800,3674.5400000,3675.6200000,3674.4900000,3675.4900000,51
20210104,125900,3675.5900000,3676.6700000,3675.1700000,3676.3900000,55
20210104,130000,3676.4400000,3676.5700000,3675.4900000,3676.1200000,53
20210104,130100,3676.1500000,3677.9900000,3675.9200000,3677.9900000,59
20210104,130200,3678.0900000,3678.1900000,3676.6800000,3676.9900000,57
20210104,130300,3677.0000000,3677.0100000,3675.1900000,3675.4300000,54
20210104,130400,3675.5400000,3676.9600000,3675.5400000,3676.8000000,55
20210104,130500,3676.9200000,3677.1700000,3676.0300000,3676.0300000,57
20210104,130600,3675.9300000,3675.9800000,3674.9600000,3675.9500000,54
20210104,130700,3675.9400000,3677.1100000,3675.2800000,3677.1100000,54
20210104,130800,3677.1800000,3680.7300000,3677.1800000,3680.4700000,48
20210104,130900,3680.4200000,3680.5900000,3679.1800000,3680.4700000,57
20210104,131000,3680.5000000,3681.1200000,3680.4500000,3680.9800000,57
20210104,131100,3681.0800000,3682.6800000,3680.6700000,3682.6800000,60
20210104,131200,3682.6900000,3683.6900000,3682.5600000,3683.5000000,54
20210104,131300,3683.4800000,3685.4000000,3683.1500000,3685.4000000,55
20210104,131400,3685.4300000,3685.4500000,3684.6100000,3684.6800000,55
20210104,131500,3684.5500000,3685.5700000,3684.1900000,3685.5700000,52
20210104,131600,3685.6700000,3686.8500000,3685.6500000,3686.8500000,55
20210104,131700,3686.9200000,3688.2500000,3686.9200000,3688.2500000,52
20210104,131800,3688.2100000,3688.3200000,3687.7000000,3688.3100000,55
20210104,131900,3688.4000000,3688.5700000,3687.9000000,3687.9600000,55
20210104,132000,3687.9500000,3689.1000000,3687.8400000,3689.0900000,53
20210104,132100,3689.0300000,3689.1600000,3688.7300000,3689.0700000,50
20210104,132200,3689.1100000,3689.5500000,3689.0800000,3689.5500000,50
20210104,132300,3689.4900000,3690.7300000,3689.1200000,3690.7300000,53
20210104,132400,3690.7600000,3693.6700000,3690.7600000,3693.5700000,53
20210104,132500,3693.5900000,3694.9500000,3693.5500000,3694.9500000,57
20210104,132600,3694.9600000,3696.1600000,3694.9400000,3696.1300000,55
20210104,132700,3696.1900000,3696.3500000,3693.8200000,3693.9800000,56
20210104,132800,3693.9900000,3693.9900000,3692.4000000,3692.4800000,57
20210104,132900,3692.5400000,3693.7400000,3692.5400000,3693.7400000,49
20210104,133000,3693.7500000,3693.7700000,3690.7200000,3690.7200000,55
20210104,133100,3690.7600000,3691.1400000,3689.9200000,3690.2700000,57
20210104,133200,3690.3000000,3691.5000000,3690.3000000,3691.5000000,53
20210104,133300,3691.5300000,3691.7400000,3689.6400000,3690.2600000,60
20210104,133400,3690.2100000,3690.6900000,3688.4300000,3688.6300000,55
20210104,133500,3688.6200000,3691.4900000,3688.6200000,3691.3300000,54
20210104,133600,3691.6000000,3692.7200000,3691.6000000,3692.2700000,55
20210104,133700,3692.2400000,3692.2400000,3691.5100000,3691.5200000,56
20210104,133800,3691.5000000,3691.5000000,3690.3200000,3690.8900000,52
20210104,133900,3690.8300000,3691.9300000,3690.8100000,3691.3800000,54
20210104,134000,3691.3600000,3693.3000000,3691.3600000,3693.3000000,56
20210104,134100,3693.3500000,3694.1300000,3693.2700000,3694.1200000,57
20210104,134200,3694.1100000,3695.9100000,3694.1100000,3695.5500000,55
20210104,134300,3695.5800000,3695.5800000,3693.2700000,3693.6900000,55
20210104,134400,3693.4900000,3693.5500000,3691.1800000,3692.3300000,58
20210104,134500,3692.3200000,3693.7100000,3692.3200000,3692.7400000,58
20210104,134600,3692.6400000,3693.6800000,3692.6400000,3693.4300000,55
20210104,134700,3693.4100000,3694.4800000,3693.3800000,3694.4800000,56
20210104,134800,3694.4900000,3694.7200000,3693.9800000,3694.6600000,55
